Epoch,Time(s),Loss,F1
00000,2019.3499,0.5230,0.0000
00001,2408.0788,17.7347,0.1790
00002,2036.9546,0.2719,0.0000
00003,2106.3953,0.4772,0.0000
00004,2024.7838,0.2795,0.0000
00005,2075.7785,0.2205,0.0000
00006,2099.2977,0.1873,0.0000
00007,2134.7374,0.1464,0.1388
00008,2146.4198,1.4278,0.0000
00009,2140.8130,0.2177,0.0000
00010,2187.4841,0.2550,0.0000
00011,2259.3356,0.2419,0.0000
00012,2241.1635,0.2051,0.0000
00013,2255.6149,0.1654,0.0000
00014,2232.7127,0.1626,0.0111
00015,2215.6087,0.2105,0.0000
00016,2196.3709,0.1647,0.0000
00017,2220.5331,0.1733,0.0000
